order_id,order_date,year,month,month_name,customer_segment,region,category,product_name,quantity,unit_price,discount_pct,shipping_cost,payment_method,gross_revenue,discount_amount,net_revenue,net_profit,profit_margin_pct
ORD-1045,2024-01-01,2024,1,Jan,Small Business,South,Electronics,USB-C Multi-port Docking Station,2,59.99,0.2,22.16,Bank Transfer,119.98,24.0,95.98,73.82,76.91
ORD-1037,2024-01-05,2024,1,Jan,Corporate,South,Apparel,Waterproof Backpack 25L,1,64.99,0.05,18.63,Crypto,64.99,3.25,61.74,43.11,69.83
ORD-1173,2024-01-10,2024,1,Jan,Small Business,West,Electronics,Wireless Ergonomic Mouse,1,29.99,0.05,18.71,Credit Card,29.99,1.5,28.49,9.78,34.33
ORD-1170,2024-01-14,2024,1,Jan,Consumer,West,Apparel,Breathable Running Shoes,2,79.99,0.15,17.54,Credit Card,159.98,24.0,135.98,118.44,87.1
ORD-1171,2024-01-15,2024,1,Jan,Small Business,East,Office Supplies,Gel Ink Pens 12-pack,1,9.99,0.0,25.97,PayPal,9.99,0.0,9.99,-15.98,-159.96
ORD-1130,2024-01-16,2024,1,Jan,Corporate,North,Apparel,Waterproof Backpack 25L,1,64.99,0.15,26.17,Crypto,64.99,9.75,55.24,29.07,52.63
ORD-1187,2024-01-16,2024,1,Jan,Corporate,North,Office Supplies,Gel Ink Pens 12-pack,1,9.99,0.2,21.94,PayPal,9.99,2.0,7.99,-13.95,-174.52
ORD-1105,2024-01-19,2024,1,Jan,Corporate,South,Apparel,Waterproof Backpack 25L,2,64.99,0.05,20.77,Credit Card,129.98,6.5,123.48,102.71,83.18
ORD-1120,2024-01-20,2024,1,Jan,Consumer,South,Furniture,Ergonomic Mesh Office Chair,1,249.99,0.15,7.89,Crypto,249.99,37.5,212.49,204.6,96.29
ORD-1089,2024-01-21,2024,1,Jan,Consumer,North,Electronics,Noise-Canceling Headphones,4,199.99,0.1,20.08,PayPal,799.96,80.0,719.96,699.88,97.21
ORD-1147,2024-01-22,2024,1,Jan,Corporate,West,Apparel,Waterproof Backpack 25L,2,64.99,0.15,28.02,Crypto,129.98,19.5,110.48,82.46,74.64
ORD-1005,2024-01-23,2024,1,Jan,Corporate,North,Office Supplies,Heavy Duty Desktop Stapler,3,12.49,0.2,8.11,Bank Transfer,37.47,7.49,29.98,21.87,72.95
ORD-1036,2024-01-23,2024,1,Jan,Corporate,South,Apparel,Breathable Running Shoes,1,79.99,0.05,20.92,Crypto,79.99,4.0,75.99,55.07,72.47
ORD-1179,2024-01-23,2024,1,Jan,Consumer,West,Office Supplies,Gel Ink Pens 12-pack,1,9.99,0.1,25.33,Crypto,9.99,1.0,8.99,-16.34,-181.73
ORD-1128,2024-01-27,2024,1,Jan,Small Business,North,Furniture,LED Monitor Desk Lamp,1,34.99,0.15,18.14,Crypto,34.99,5.25,29.74,11.6,39.01
