group_level,group_name,total_orders,total_units_sold,total_gross_revenue,total_discount_amount,total_net_revenue,total_shipping_cost,total_net_profit,avg_order_value,avg_profit_margin_pct,avg_discount_pct
category,Apparel,61,150,10093.5,1313.87,8779.64,1033.61,7746.02,143.93,80.44,0.11
category,Electronics,47,111,17748.89,1840.45,15908.44,853.74,15054.7,338.48,79.61,0.11
category,Furniture,48,118,20623.82,1958.65,18665.17,795.49,17869.68,388.86,71.91,0.1
category,Office Supplies,44,114,2603.86,227.31,2376.55,764.02,1612.53,54.01,11.74,0.08
month,2024-01,16,25,2382.25,270.74,2111.51,316.14,1795.37,131.97,27.28,0.12
month,2024-02,19,41,4092.09,438.24,3653.86,276.61,3377.25,192.31,64.9,0.1
month,2024-03,11,28,2654.72,130.48,2524.24,163.62,2360.62,229.48,64.54,0.1
month,2024-04,16,62,4814.38,394.94,4419.44,268.45,4150.99,276.21,77.99,0.11
month,2024-05,17,45,5374.55,643.47,4731.08,311.67,4419.41,278.3,80.22,0.11
month,2024-06,17,47,5284.53,543.97,4740.56,311.89,4428.67,278.86,65.01,0.1
month,2024-07,17,36,3492.14,406.09,3086.05,254.01,2832.04,181.53,60.36,0.09
month,2024-08,17,38,2684.62,242.46,2442.16,286.95,2155.21,143.66,59.69,0.12
month,2024-09,13,33,2264.67,279.73,1984.94,250.25,1734.69,152.69,73.99,0.08
month,2024-10,18,32,4762.18,630.49,4131.69,298.35,3833.34,229.54,69.29,0.1
month,2024-11,18,60,7129.4,703.45,6425.95,345.0,6080.94,357.0,54.11,0.09
month,2024-12,21,46,6134.54,656.22,5478.32,363.92,5114.4,260.87,61.76,0.1
overall,All,200,493,51070.07,5340.28,45729.8,3446.86,42282.93,228.65,63.08,0.1
region,East,35,103,9131.47,720.8,8410.67,604.3,7806.36,240.3,58.87,0.08
region,North,62,162,18863.38,2222.62,16640.77,1063.25,15577.52,268.4,66.29,0.12
region,South,52,120,11253.8,1162.18,10091.62,893.06,9198.56,194.07,70.93,0.1
region,West,51,108,11821.42,1234.68,10586.74,886.25,9700.49,207.58,54.08,0.1
segment,Consumer,57,161,21605.89,2271.37,19334.53,1044.11,18290.41,339.2,63.05,0.1
segment,Corporate,68,174,10510.76,1054.0,9456.76,1136.61,8320.15,139.07,55.23,0.1
segment,Small Business,75,158,18953.42,2014.91,16938.51,1266.14,15672.37,225.85,70.23,0.1
